city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
Ilulissat,69.2167,-51.1,21.2,68,20,5.75,GL,1614940588
North Bend,43.4065,-124.2243,53.6,54,90,13.8,US,1614940467
Ondjiva,-17.0667,15.7333,87.8,30,20,5.75,AO,1614940588
East London,-33.0153,27.9116,75.2,60,20,16.11,ZA,1614940588
Krutikha,53.9599,81.2093,24.04,83,81,17.72,RU,1614940589
Punta Arenas,-53.15,-70.9167,53.6,58,0,18.41,CL,1614940343
Booué,-0.0921,11.9385,90.99,55,30,3.96,GA,1614940589
Ushuaia,-54.8,-68.3,55.4,38,20,11.5,AR,1614940295
Prince George,53.9166,-122.753,39.2,60,40,5.75,CA,1614940324
Broken Hill,-31.95,141.4333,78.8,29,0,11.5,AU,1614940308
Elko,41.0002,-115.5012,32.0,63,1,6.91,US,1614940589
Hilo,19.7297,-155.09,64.4,88,40,6.91,US,1614940355
Provideniya,64.3833,-173.3,6.87,96,100,10.8,RU,1614940589
Pevek,69.7008,170.3133,-3.71,84,100,13.27,RU,1614940589
Norman Wells,65.282,-126.8329,-16.6,83,40,2.3,CA,1614940589
Kuytun,54.3419,101.5036,10.18,93,82,8.55,RU,1614940590
Anadyr,64.75,177.4833,-9.4,77,75,8.95,RU,1614940590
Bonthe,7.5264,-12.505,84.54,72,95,7.02,SL,1614940590
Bengkulu,-3.8004,102.2655,81.5,84,84,6.55,ID,1614940405
Butaritari,3.0707,172.7902,81.14,78,97,17.76,KI,1614940590
Galesong,-5.3166,119.3661,78.8,89,20,5.75,ID,1614940590
Rikitea,-23.1203,-134.9692,80.31,82,12,9.6,PF,1614940590
Airai,-8.9266,125.4092,62.47,97,86,0.2,TL,1614940590
Faanui,-16.4833,-151.75,83.08,76,100,13.62,PF,1614940591
Lethem,3.3803,-59.7968,75.97,81,98,11.45,GY,1614940591
Saldanha,-33.0117,17.9442,80.6,36,0,3.44,ZA,1614940591
Guerrero Negro,27.9769,-114.0611,55.17,74,58,2.59,MX,1614940579
Shingū,33.7333,135.9833,57.2,82,75,6.91,JP,1614940515
George,-33.963,22.4617,73.4,60,20,11.5,ZA,1614940591
Antalaha,-14.9003,50.2788,85.42,71,25,9.51,MG,1614940591
Zakharivka,47.3333,29.75,51.03,66,81,2.24,UA,1614940591
Kholodnyy,62.7167,147.95,-22.45,88,100,2.21,RU,1614940592
Tuktoyaktuk,69.4541,-133.0374,-9.65,93,1,15.75,CA,1614940592
Cape Town,-33.9258,18.4232,84.0,34,0,5.75,ZA,1614940382
Sioux Lookout,50.1001,-91.917,5.0,92,1,2.3,CA,1614940332
Chokurdakh,70.6333,147.9167,-6.77,95,100,20.92,RU,1614940592
Busselton,-33.65,115.3333,73.0,85,19,1.01,AU,1614940400
Okato,-39.2,173.8833,59.0,81,30,5.99,NZ,1614940592
Port Alfred,-33.5906,26.891,75.99,74,22,4.0,ZA,1614940592
Naze,28.3667,129.4833,66.2,59,75,9.22,JP,1614940593
Srandakan,-7.9386,110.2506,81.14,76,9,4.12,ID,1614940593
Lorengau,-2.0226,147.2712,81.99,80,79,8.99,PG,1614940593
Barrow,71.2906,-156.7887,-16.6,63,40,21.85,US,1614940501
Vaini,-21.2,-175.2,77.0,94,75,2.3,TO,1614940593
Neuquén,-38.9516,-68.0591,60.8,82,75,10.36,AR,1614940594
Hobart,-42.8794,147.3294,55.4,47,75,14.97,AU,1614940296
Berlevåg,70.8578,29.0864,23.0,86,75,9.22,NO,1614940594
Codrington,-38.2667,141.9667,56.75,69,100,13.51,AU,1614940594
Grand-Bourg,15.8835,-61.3148,75.2,88,0,14.47,GP,1614940594
Bandar-e Lengeh,26.5579,54.8807,87.8,33,0,6.91,IR,1614940595
Albany,42.6001,-73.9662,18.0,40,17,4.0,US,1614940515
Severo-Kuril'sk,50.6789,156.125,32.0,97,77,16.08,RU,1614940595
Gangarampur,25.4,88.5167,92.46,11,0,14.29,IN,1614940595
Straumen,63.8709,11.2999,36.0,86,75,12.66,NO,1614940595
Mataura,-46.1927,168.8643,50.0,81,80,1.01,NZ,1614940596
Petrozavodsk,61.7849,34.3469,19.4,68,40,4.47,RU,1614940567
Kavieng,-2.5744,150.7967,82.65,80,100,10.0,PG,1614940596
Terney,45.0503,136.6092,16.48,53,98,17.63,RU,1614940596
Pisco,-13.7,-76.2167,73.4,83,20,4.61,PE,1614940596
Thompson,55.7435,-97.8558,12.2,92,75,4.61,CA,1614940597
Christchurch,-43.5333,172.6333,66.99,45,90,10.36,NZ,1614940597
Anloga,5.7947,0.8973,84.87,75,90,16.02,GH,1614940537
Ponta do Sol,32.6667,-17.1,62.01,69,31,1.99,PT,1614940597
Hermanus,-34.4187,19.2345,78.01,50,0,5.01,ZA,1614940597
Bredasdorp,-34.5322,20.0403,78.8,44,40,11.5,ZA,1614940597
Torbay,47.6666,-52.7314,30.0,93,40,12.66,CA,1614940517
Puerto Ayora,-0.7393,-90.3518,72.0,99,30,3.85,EC,1614940597
Orodara,10.9492,-4.9342,97.77,20,8,2.26,BF,1614940598
Souillac,-20.5167,57.5167,82.4,74,75,11.5,MU,1614940598
Hofn,64.2539,-15.2082,32.0,86,43,3.44,IS,1614940598
Sipoo,60.3775,25.2691,28.0,54,0,11.5,FI,1614940598
Atuona,-9.8,-139.0333,79.14,73,50,11.86,PF,1614940599
Yellowknife,62.456,-114.3525,1.4,78,1,18.41,CA,1614940599
Khatanga,71.9667,102.5,-22.72,83,82,9.64,RU,1614940599
Kapaa,22.0752,-159.319,66.2,94,90,24.16,US,1614940599
Igrim,63.1906,64.4162,16.99,90,100,0.89,RU,1614940599
Astoria,46.1879,-123.8313,50.0,87,90,4.61,US,1614940600
Cherskiy,68.75,161.3,-12.14,97,100,6.24,RU,1614940600
